name,Constructor,fullname,position
British Grand Prix,Williams,Bruno Senna,15
British Grand Prix,Williams,Pastor Maldonado,7
Canadian Grand Prix,Caterham,Heikki Kovalainen,18
Canadian Grand Prix,Caterham,Vitaly Petrov,19
Canadian Grand Prix,Ferrari,Felipe Massa,6
Canadian Grand Prix,Ferrari,Fernando Alonso,3
Canadian Grand Prix,Force India,Nico Hulkenberg,13
Canadian Grand Prix,Force India,Paul di Resta,8
Canadian Grand Prix,HRT,Narain Karthikeyan,24
Canadian Grand Prix,HRT,Pedro de la Rosa,21
Canadian Grand Prix,Lotus F1,Kimi Raikkonen,12
Canadian Grand Prix,Lotus F1,Romain Grosjean,7
Canadian Grand Prix,Marussia,Charles Pic,23
Canadian Grand Prix,Marussia,Timo Glock,22
Canadian Grand Prix,McLaren,Jenson Button,10
Canadian Grand Prix,McLaren,Lewis Hamilton,2
Canadian Grand Prix,Mercedes,Michael Schumacher,9
Canadian Grand Prix,Mercedes,Nico Rosberg,5
Canadian Grand Prix,Red Bull,Mark Webber,4
Canadian Grand Prix,Red Bull,Sebastian Vettel,1
Canadian Grand Prix,Sauber,Kamui Kobayashi,11
Canadian Grand Prix,Sauber,Sergio Perez,15
Canadian Grand Prix,Toro Rosso,Daniel Ricciardo,14
Canadian Grand Prix,Toro Rosso,Jean-eric Vergne,20
Canadian Grand Prix,Williams,Bruno Senna,16
Canadian Grand Prix,Williams,Pastor Maldonado,17
Chinese Grand Prix,Caterham,Heikki Kovalainen,19
Chinese Grand Prix,Caterham,Vitaly Petrov,20
Chinese Grand Prix,Ferrari,Felipe Massa,12
Chinese Grand Prix,Ferrari,Fernando Alonso,9
Chinese Grand Prix,Force India,Nico Hulkenberg,16
Chinese Grand Prix,Force India,Paul di Resta,15
Chinese Grand Prix,HRT,Narain Karthikeyan,24
Chinese Grand Prix,HRT,Pedro de la Rosa,23
Chinese Grand Prix,Lotus F1,Kimi Raikkonen,5
Chinese Grand Prix,Lotus F1,Romain Grosjean,10
Chinese Grand Prix,Marussia,Charles Pic,22
Chinese Grand Prix,Marussia,Timo Glock,21
Chinese Grand Prix,McLaren,Jenson Button,6
Chinese Grand Prix,McLaren,Lewis Hamilton,2
Chinese Grand Prix,Mercedes,Michael Schumacher,3
Chinese Grand Prix,Mercedes,Nico Rosberg,1
Chinese Grand Prix,Red Bull,Mark Webber,7
Chinese Grand Prix,Red Bull,Sebastian Vettel,11
Chinese Grand Prix,Sauber,Kamui Kobayashi,4
Chinese Grand Prix,Sauber,Sergio Perez,8
Chinese Grand Prix,Toro Rosso,Daniel Ricciardo,17
Chinese Grand Prix,Toro Rosso,Jean-eric Vergne,18
Chinese Grand Prix,Williams,Bruno Senna,14
