raceId,year,name,forename,surname,name,finishingPosition,points
866,2012,"Canadian Grand Prix",Kamui,Kobayashi,Sauber,9,2
866,2012,"Canadian Grand Prix",Felipe,Massa,Ferrari,10,1
866,2012,"Canadian Grand Prix",Paul,"di Resta","Force India",11,0
866,2012,"Canadian Grand Prix",Nico,Hulkenberg,"Force India",12,0
866,2012,"Canadian Grand Prix",Pastor,Maldonado,Williams,13,0
866,2012,"Canadian Grand Prix",Daniel,Ricciardo,"Toro Rosso",14,0
866,2012,"Canadian Grand Prix",Jean-eric,Vergne,"Toro Rosso",15,0
866,2012,"Canadian Grand Prix",Jenson,Button,McLaren,16,0
866,2012,"Canadian Grand Prix",Bruno,Senna,Williams,17,0
866,2012,"Canadian Grand Prix",Heikki,Kovalainen,Caterham,18,0
866,2012,"Canadian Grand Prix",Vitaly,Petrov,Caterham,19,0
866,2012,"Canadian Grand Prix",Charles,Pic,Marussia,20,0
866,2012,"Canadian Grand Prix",Timo,Glock,Marussia,21,0
866,2012,"Canadian Grand Prix",Michael,Schumacher,Mercedes,22,0
866,2012,"Canadian Grand Prix",Pedro,"de la Rosa",HRT,23,0
866,2012,"Canadian Grand Prix",Narain,Karthikeyan,HRT,24,0
867,2012,"European Grand Prix",Fernando,Alonso,Ferrari,1,25
867,2012,"European Grand Prix",Kimi,Raikkonen,"Lotus F1",2,18
867,2012,"European Grand Prix",Michael,Schumacher,Mercedes,3,15
867,2012,"European Grand Prix",Mark,Webber,"Red Bull",4,12
867,2012,"European Grand Prix",Nico,Hulkenberg,"Force India",5,10
867,2012,"European Grand Prix",Nico,Rosberg,Mercedes,6,8
867,2012,"European Grand Prix",Paul,"di Resta","Force India",7,6
867,2012,"European Grand Prix",Jenson,Button,McLaren,8,4
867,2012,"European Grand Prix",Sergio,Perez,Sauber,9,2
867,2012,"European Grand Prix",Bruno,Senna,Williams,10,1
867,2012,"European Grand Prix",Daniel,Ricciardo,"Toro Rosso",11,0
867,2012,"European Grand Prix",Pastor,Maldonado,Williams,12,0
867,2012,"European Grand Prix",Vitaly,Petrov,Caterham,13,0
867,2012,"European Grand Prix",Heikki,Kovalainen,Caterham,14,0
867,2012,"European Grand Prix",Charles,Pic,Marussia,15,0
867,2012,"European Grand Prix",Felipe,Massa,Ferrari,16,0
867,2012,"European Grand Prix",Pedro,"de la Rosa",HRT,17,0
867,2012,"European Grand Prix",Narain,Karthikeyan,HRT,18,0
867,2012,"European Grand Prix",Lewis,Hamilton,McLaren,19,0
867,2012,"European Grand Prix",Romain,Grosjean,"Lotus F1",20,0
867,2012,"European Grand Prix",Sebastian,Vettel,"Red Bull",21,0
867,2012,"European Grand Prix",Kamui,Kobayashi,Sauber,22,0
867,2012,"European Grand Prix",Jean-eric,Vergne,"Toro Rosso",23,0
867,2012,"European Grand Prix",Timo,Glock,Marussia,24,0
868,2012,"British Grand Prix",Mark,Webber,"Red Bull",1,25
868,2012,"British Grand Prix",Fernando,Alonso,Ferrari,2,18
868,2012,"British Grand Prix",Sebastian,Vettel,"Red Bull",3,15
868,2012,"British Grand Prix",Felipe,Massa,Ferrari,4,12
868,2012,"British Grand Prix",Kimi,Raikkonen,"Lotus F1",5,10
868,2012,"British Grand Prix",Romain,Grosjean,"Lotus F1",6,8
868,2012,"British Grand Prix",Michael,Schumacher,Mercedes,7,6
868,2012,"British Grand Prix",Lewis,Hamilton,McLaren,8,4
868,2012,"British Grand Prix",Bruno,Senna,Williams,9,2
868,2012,"British Grand Prix",Jenson,Button,McLaren,10,1
868,2012,"British Grand Prix",Kamui,Kobayashi,Sauber,11,0
868,2012,"British Grand Prix",Nico,Hulkenberg,"Force India",12,0
868,2012,"British Grand Prix",Daniel,Ricciardo,"Toro Rosso",13,0
868,2012,"British Grand Prix",Jean-eric,Vergne,"Toro Rosso",14,0
868,2012,"British Grand Prix",Nico,Rosberg,Mercedes,15,0
868,2012,"British Grand Prix",Pastor,Maldonado,Williams,16,0
868,2012,"British Grand Prix",Heikki,Kovalainen,Caterham,17,0
868,2012,"British Grand Prix",Timo,Glock,Marussia,18,0
868,2012,"British Grand Prix",Charles,Pic,Marussia,19,0
868,2012,"British Grand Prix",Pedro,"de la Rosa",HRT,20,0
868,2012,"British Grand Prix",Narain,Karthikeyan,HRT,21,0
868,2012,"British Grand Prix",Sergio,Perez,Sauber,22,0
868,2012,"British Grand Prix",Paul,"di Resta","Force India",23,0
868,2012,"British Grand Prix",Vitaly,Petrov,Caterham,24,0
869,2012,"German Grand Prix",Fernando,Alonso,Ferrari,1,25
869,2012,"German Grand Prix",Jenson,Button,McLaren,2,18
869,2012,"German Grand Prix",Kimi,Raikkonen,"Lotus F1",3,15
869,2012,"German Grand Prix",Kamui,Kobayashi,Sauber,4,12
869,2012,"German Grand Prix",Sebastian,Vettel,"Red Bull",5,10
869,2012,"German Grand Prix",Sergio,Perez,Sauber,6,8
869,2012,"German Grand Prix",Michael,Schumacher,Mercedes,7,6
869,2012,"German Grand Prix",Mark,Webber,"Red Bull",8,4
869,2012,"German Grand Prix",Nico,Hulkenberg,"Force India",9,2
869,2012,"German Grand Prix",Nico,Rosberg,Mercedes,10,1
869,2012,"German Grand Prix",Paul,"di Resta","Force India",11,0
869,2012,"German Grand Prix",Felipe,Massa,Ferrari,12,0
