raceId,year,name,forename,surname,q3,name,position
867,2012,"European Grand Prix",Kamui,Kobayashi,1:38.741,Sauber,7
867,2012,"European Grand Prix",Nico,Hulkenberg,1:38.752,"Force India",8
867,2012,"European Grand Prix",Jenson,Button,1:38.801,McLaren,9
867,2012,"European Grand Prix",Paul,"di Resta",1:38.992,"Force India",10
867,2012,"European Grand Prix",Fernando,Alonso,\N,Ferrari,11
867,2012,"European Grand Prix",Michael,Schumacher,\N,Mercedes,12
867,2012,"European Grand Prix",Felipe,Massa,\N,Ferrari,13
867,2012,"European Grand Prix",Bruno,Senna,\N,Williams,14
867,2012,"European Grand Prix",Sergio,Perez,\N,Sauber,15
867,2012,"European Grand Prix",Heikki,Kovalainen,\N,Caterham,16
867,2012,"European Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",17
867,2012,"European Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",18
867,2012,"European Grand Prix",Mark,Webber,\N,"Red Bull",19
867,2012,"European Grand Prix",Vitaly,Petrov,\N,Caterham,20
867,2012,"European Grand Prix",Pedro,"de la Rosa",\N,HRT,21
867,2012,"European Grand Prix",Narain,Karthikeyan,\N,HRT,22
867,2012,"European Grand Prix",Charles,Pic,\N,Marussia,23
868,2012,"British Grand Prix",Fernando,Alonso,1:51.746,Ferrari,1
868,2012,"British Grand Prix",Mark,Webber,1:51.793,"Red Bull",2
868,2012,"British Grand Prix",Michael,Schumacher,1:52.020,Mercedes,3
868,2012,"British Grand Prix",Sebastian,Vettel,1:52.199,"Red Bull",4
868,2012,"British Grand Prix",Felipe,Massa,1:53.065,Ferrari,5
868,2012,"British Grand Prix",Kimi,Raikkonen,1:53.290,"Lotus F1",6
868,2012,"British Grand Prix",Pastor,Maldonado,1:53.539,Williams,7
868,2012,"British Grand Prix",Lewis,Hamilton,1:53.543,McLaren,8
868,2012,"British Grand Prix",Nico,Hulkenberg,1:54.382,"Force India",9
868,2012,"British Grand Prix",Romain,Grosjean,\N,"Lotus F1",10
868,2012,"British Grand Prix",Paul,"di Resta",\N,"Force India",11
868,2012,"British Grand Prix",Kamui,Kobayashi,\N,Sauber,12
868,2012,"British Grand Prix",Nico,Rosberg,\N,Mercedes,13
868,2012,"British Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",14
868,2012,"British Grand Prix",Bruno,Senna,\N,Williams,15
868,2012,"British Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",16
868,2012,"British Grand Prix",Sergio,Perez,\N,Sauber,17
868,2012,"British Grand Prix",Jenson,Button,\N,McLaren,18
868,2012,"British Grand Prix",Vitaly,Petrov,\N,Caterham,19
868,2012,"British Grand Prix",Heikki,Kovalainen,\N,Caterham,20
868,2012,"British Grand Prix",Timo,Glock,\N,Marussia,21
868,2012,"British Grand Prix",Pedro,"de la Rosa",\N,HRT,22
868,2012,"British Grand Prix",Narain,Karthikeyan,\N,HRT,23
868,2012,"British Grand Prix",Charles,Pic,\N,Marussia,24
869,2012,"German Grand Prix",Fernando,Alonso,1:40.621,Ferrari,1
869,2012,"German Grand Prix",Sebastian,Vettel,1:41.026,"Red Bull",2
869,2012,"German Grand Prix",Mark,Webber,1:41.496,"Red Bull",3
869,2012,"German Grand Prix",Michael,Schumacher,1:42.459,Mercedes,4
869,2012,"German Grand Prix",Nico,Hulkenberg,1:43.501,"Force India",5
869,2012,"German Grand Prix",Pastor,Maldonado,1:43.950,Williams,6
869,2012,"German Grand Prix",Jenson,Button,1:44.113,McLaren,7
869,2012,"German Grand Prix",Lewis,Hamilton,1:44.186,McLaren,8
869,2012,"German Grand Prix",Paul,"di Resta",1:44.889,"Force India",9
869,2012,"German Grand Prix",Kimi,Raikkonen,1:45.811,"Lotus F1",10
869,2012,"German Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",11
869,2012,"German Grand Prix",Sergio,Perez,\N,Sauber,12
869,2012,"German Grand Prix",Kamui,Kobayashi,\N,Sauber,13
869,2012,"German Grand Prix",Felipe,Massa,\N,Ferrari,14
869,2012,"German Grand Prix",Romain,Grosjean,\N,"Lotus F1",15
869,2012,"German Grand Prix",Bruno,Senna,\N,Williams,16
869,2012,"German Grand Prix",Nico,Rosberg,\N,Mercedes,17
869,2012,"German Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",18
869,2012,"German Grand Prix",Heikki,Kovalainen,\N,Caterham,19
869,2012,"German Grand Prix",Vitaly,Petrov,\N,Caterham,20
869,2012,"German Grand Prix",Charles,Pic,\N,Marussia,21
869,2012,"German Grand Prix",Timo,Glock,\N,Marussia,22
869,2012,"German Grand Prix",Pedro,"de la Rosa",\N,HRT,23
869,2012,"German Grand Prix",Narain,Karthikeyan,\N,HRT,24
870,2012,"Hungarian Grand Prix",Lewis,Hamilton,1:20.953,McLaren,1
870,2012,"Hungarian Grand Prix",Romain,Grosjean,1:21.366,"Lotus F1",2
870,2012,"Hungarian Grand Prix",Sebastian,Vettel,1:21.416,"Red Bull",3
870,2012,"Hungarian Grand Prix",Jenson,Button,1:21.583,McLaren,4
870,2012,"Hungarian Grand Prix",Kimi,Raikkonen,1:21.730,"Lotus F1",5
870,2012,"Hungarian Grand Prix",Fernando,Alonso,1:21.844,Ferrari,6
870,2012,"Hungarian Grand Prix",Felipe,Massa,1:21.900,Ferrari,7
870,2012,"Hungarian Grand Prix",Pastor,Maldonado,1:21.939,Williams,8
870,2012,"Hungarian Grand Prix",Bruno,Senna,1:22.343,Williams,9
870,2012,"Hungarian Grand Prix",Nico,Hulkenberg,1:22.847,"Force India",10
870,2012,"Hungarian Grand Prix",Mark,Webber,\N,"Red Bull",11
870,2012,"Hungarian Grand Prix",Paul,"di Resta",\N,"Force India",12
870,2012,"Hungarian Grand Prix",Nico,Rosberg,\N,Mercedes,13
870,2012,"Hungarian Grand Prix",Sergio,Perez,\N,Sauber,14
870,2012,"Hungarian Grand Prix",Kamui,Kobayashi,\N,Sauber,15
870,2012,"Hungarian Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",16
870,2012,"Hungarian Grand Prix",Michael,Schumacher,\N,Mercedes,17
870,2012,"Hungarian Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",18
870,2012,"Hungarian Grand Prix",Heikki,Kovalainen,\N,Caterham,19
870,2012,"Hungarian Grand Prix",Vitaly,Petrov,\N,Caterham,20
870,2012,"Hungarian Grand Prix",Charles,Pic,\N,Marussia,21
870,2012,"Hungarian Grand Prix",Timo,Glock,\N,Marussia,22
870,2012,"Hungarian Grand Prix",Pedro,"de la Rosa",\N,HRT,23
870,2012,"Hungarian Grand Prix",Narain,Karthikeyan,\N,HRT,24
871,2012,"Belgian Grand Prix",Jenson,Button,1:47.573,McLaren,1
871,2012,"Belgian Grand Prix",Kamui,Kobayashi,1:47.871,Sauber,2
871,2012,"Belgian Grand Prix",Pastor,Maldonado,1:47.893,Williams,3
871,2012,"Belgian Grand Prix",Kimi,Raikkonen,1:48.205,"Lotus F1",4
871,2012,"Belgian Grand Prix",Sergio,Perez,1:48.219,Sauber,5
871,2012,"Belgian Grand Prix",Fernando,Alonso,1:48.313,Ferrari,6
871,2012,"Belgian Grand Prix",Mark,Webber,1:48.392,"Red Bull",7
871,2012,"Belgian Grand Prix",Lewis,Hamilton,1:48.394,McLaren,8
871,2012,"Belgian Grand Prix",Romain,Grosjean,1:48.538,"Lotus F1",9
871,2012,"Belgian Grand Prix",Paul,"di Resta",1:48.890,"Force India",10
871,2012,"Belgian Grand Prix",Sebastian,Vettel,\N,"Red Bull",11
871,2012,"Belgian Grand Prix",Nico,Hulkenberg,\N,"Force India",12
871,2012,"Belgian Grand Prix",Michael,Schumacher,\N,Mercedes,13
871,2012,"Belgian Grand Prix",Felipe,Massa,\N,Ferrari,14
871,2012,"Belgian Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",15
871,2012,"Belgian Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",16
871,2012,"Belgian Grand Prix",Bruno,Senna,\N,Williams,17
871,2012,"Belgian Grand Prix",Nico,Rosberg,\N,Mercedes,18
871,2012,"Belgian Grand Prix",Heikki,Kovalainen,\N,Caterham,19
871,2012,"Belgian Grand Prix",Vitaly,Petrov,\N,Caterham,20
871,2012,"Belgian Grand Prix",Timo,Glock,\N,Marussia,21
871,2012,"Belgian Grand Prix",Pedro,"de la Rosa",\N,HRT,22
871,2012,"Belgian Grand Prix",Charles,Pic,\N,Marussia,23
871,2012,"Belgian Grand Prix",Narain,Karthikeyan,\N,HRT,24
872,2012,"Italian Grand Prix",Lewis,Hamilton,1:24.010,McLaren,1
872,2012,"Italian Grand Prix",Jenson,Button,1:24.133,McLaren,2
872,2012,"Italian Grand Prix",Felipe,Massa,1:24.247,Ferrari,3
872,2012,"Italian Grand Prix",Paul,"di Resta",1:24.304,"Force India",4
