raceId,year,name,forename,surname,name,finishingPosition,points
41,2007,"Canadian Grand Prix",Alexander,Wurz,Williams,3,6
41,2007,"Canadian Grand Prix",Heikki,Kovalainen,Renault,4,5
41,2007,"Canadian Grand Prix",Kimi,Raikkonen,Ferrari,5,4
41,2007,"Canadian Grand Prix",Takuma,Sato,"Super Aguri",6,3
41,2007,"Canadian Grand Prix",Fernando,Alonso,McLaren,7,2
41,2007,"Canadian Grand Prix",Ralf,Schumacher,Toyota,8,1
41,2007,"Canadian Grand Prix",Mark,Webber,"Red Bull",9,0
41,2007,"Canadian Grand Prix",Nico,Rosberg,Williams,10,0
41,2007,"Canadian Grand Prix",Anthony,Davidson,"Super Aguri",11,0
41,2007,"Canadian Grand Prix",Rubens,Barrichello,Honda,12,0
41,2007,"Canadian Grand Prix",Jarno,Trulli,Toyota,13,0
41,2007,"Canadian Grand Prix",Vitantonio,Liuzzi,"Toro Rosso",14,0
41,2007,"Canadian Grand Prix",Christijan,Albers,Spyker,15,0
41,2007,"Canadian Grand Prix",David,Coulthard,"Red Bull",16,0
41,2007,"Canadian Grand Prix",Robert,Kubica,"BMW Sauber",17,0
41,2007,"Canadian Grand Prix",Adrian,Sutil,Spyker,18,0
41,2007,"Canadian Grand Prix",Scott,Speed,"Toro Rosso",19,0
41,2007,"Canadian Grand Prix",Jenson,Button,Honda,20,0
41,2007,"Canadian Grand Prix",Felipe,Massa,Ferrari,21,0
41,2007,"Canadian Grand Prix",Giancarlo,Fisichella,Renault,22,0
42,2007,"United States Grand Prix",Lewis,Hamilton,McLaren,1,10
42,2007,"United States Grand Prix",Fernando,Alonso,McLaren,2,8
42,2007,"United States Grand Prix",Felipe,Massa,Ferrari,3,6
42,2007,"United States Grand Prix",Kimi,Raikkonen,Ferrari,4,5
42,2007,"United States Grand Prix",Heikki,Kovalainen,Renault,5,4
42,2007,"United States Grand Prix",Jarno,Trulli,Toyota,6,3
42,2007,"United States Grand Prix",Mark,Webber,"Red Bull",7,2
42,2007,"United States Grand Prix",Sebastian,Vettel,"BMW Sauber",8,1
42,2007,"United States Grand Prix",Giancarlo,Fisichella,Renault,9,0
42,2007,"United States Grand Prix",Alexander,Wurz,Williams,10,0
42,2007,"United States Grand Prix",Anthony,Davidson,"Super Aguri",11,0
42,2007,"United States Grand Prix",Jenson,Button,Honda,12,0
42,2007,"United States Grand Prix",Scott,Speed,"Toro Rosso",13,0
42,2007,"United States Grand Prix",Adrian,Sutil,Spyker,14,0
42,2007,"United States Grand Prix",Christijan,Albers,Spyker,15,0
42,2007,"United States Grand Prix",Nico,Rosberg,Williams,16,0
42,2007,"United States Grand Prix",Vitantonio,Liuzzi,"Toro Rosso",17,0
42,2007,"United States Grand Prix",Nick,Heidfeld,"BMW Sauber",18,0
42,2007,"United States Grand Prix",Takuma,Sato,"Super Aguri",19,0
42,2007,"United States Grand Prix",David,Coulthard,"Red Bull",20,0
42,2007,"United States Grand Prix",Rubens,Barrichello,Honda,21,0
42,2007,"United States Grand Prix",Ralf,Schumacher,Toyota,22,0
43,2007,"French Grand Prix",Kimi,Raikkonen,Ferrari,1,10
43,2007,"French Grand Prix",Felipe,Massa,Ferrari,2,8
43,2007,"French Grand Prix",Lewis,Hamilton,McLaren,3,6
43,2007,"French Grand Prix",Robert,Kubica,"BMW Sauber",4,5
43,2007,"French Grand Prix",Nick,Heidfeld,"BMW Sauber",5,4
43,2007,"French Grand Prix",Giancarlo,Fisichella,Renault,6,3
43,2007,"French Grand Prix",Fernando,Alonso,McLaren,7,2
43,2007,"French Grand Prix",Jenson,Button,Honda,8,1
43,2007,"French Grand Prix",Nico,Rosberg,Williams,9,0
43,2007,"French Grand Prix",Ralf,Schumacher,Toyota,10,0
43,2007,"French Grand Prix",Rubens,Barrichello,Honda,11,0
43,2007,"French Grand Prix",Mark,Webber,"Red Bull",12,0
43,2007,"French Grand Prix",David,Coulthard,"Red Bull",13,0
43,2007,"French Grand Prix",Alexander,Wurz,Williams,14,0
